ID Produto,Nome Produto,Quantidade Vendida,Preco Unitario,Data da Venda
4,Camiseta Básica,10,66.11,2021-02-02
1,Camisa Gola Polo,20,15.56,2021-10-04
8,Camisa Gola Polo,13,85.24,2021-03-21
10,Calça Jeans,8,66.72,2021-05-25
8,Camisa Gola Polo,20,11.51,2021-10-22
2,Camiseta Básica,18,24.59,2021-04-24
5,Camiseta Básica,3,89.11,2021-02-23
10,Sapato Social,2,94.56,2021-10-02
2,Camiseta Básica,10,75.47,2021-11-22
9,Camiseta Básica,8,37.05,2021-05-30
2,Calça Jeans,20,96.94,2021-04-05
10,Camisa Manga Longa,18,76.67,2021-02-26
8,Camiseta Básica,7,61.51,2021-12-05
5,Camisa Gola Polo,4,94.49,2021-11-08
4,Calça Jeans,5,18.89,2021-07-30
2,Sapato Social,11,92.93,2021-03-16
6,Camisa Gola Polo,11,97.72,2021-04-13
7,Camisa Manga Longa,5,10.52,2021-04-12
7,Calça Jeans,20,20.26,2021-09-13
4,Camisa Gola Polo,14,79.2,2021-12-17
5,Calça Jeans,4,17.57,2021-03-15
10,Camisa Manga Longa,2,59.2,2021-07-11
6,Sapato Social,8,92.74,2021-01-17
2,Camisa Manga Longa,13,10.26,2021-12-05
7,Camisa Manga Longa,4,26.4,2021-06-08
10,Calça Jeans,1,93.44,2021-04-16
4,Camisa Gola Polo,17,87.6,2021-01-10
7,Camisa Gola Polo,5,15.82,2021-09-10
8,Camiseta Básica,6,83.58,2021-01-17
4,Calça Jeans,14,81.28,2021-07-27
5,Sapato Social,8,14.67,2021-11-03
7,Camisa Gola Polo,19,32.22,2021-12-25
4,Camisa Gola Polo,17,59.83,2021-01-14
6,Camiseta Básica,8,82.61,2021-08-10
2,Camisa Gola Polo,16,72.28,2021-04-25
6,Calça Jeans,6,73.29,2021-02-22
9,Calça Jeans,18,23.94,2021-07-04
4,Camiseta Básica,2,44.93,2021-01-25
4,Camisa Manga Longa,11,31.32,2021-08-31
5,Calça Jeans,1,51.75,2021-05-03
4,Calça Jeans,8,47.44,2021-04-24
3,Camiseta Básica,16,50.05,2021-01-16
8,Calça Jeans,13,78.68,2021-02-28
2,Sapato Social,9,75.92,2021-02-04
4,Camiseta Básica,17,85.56,2021-05-12
6,Sapato Social,19,82.45,2021-12-03
10,Calça Jeans,4,17.0,2021-02-06
3,Camisa Manga Longa,9,30.21,2021-05-27
4,Camiseta Básica,9,83.01,2021-10-19
9,Camisa Gola Polo,9,92.97,2021-06-15
4,Camisa Gola Polo,10,56.79,2021-12-21
7,Camisa Manga Longa,20,53.15,2021-05-27
1,Calça Jeans,18,23.86,2021-04-27
8,Sapato Social,11,37.97,2021-08-24
1,Camisa Gola Polo,8,76.94,2021-06-02
2,Sapato Social,19,19.41,2021-06-19
4,Camiseta Básica,10,96.05,2021-06-17
6,Sapato Social,2,71.45,2021-04-03
5,Calça Jeans,6,64.52,2021-07-16
7,Camisa Gola Polo,12,56.36,2021-11-11
6,Camisa Manga Longa,10,76.8,2021-08-05
10,Camisa Manga Longa,5,66.56,2021-05-26
7,Calça Jeans,20,66.48,2021-07-07
10,Calça Jeans,19,92.62,2021-05-23
7,Camisa Manga Longa,2,44.38,2021-12-04
4,Camiseta Básica,4,34.91,2021-10-05
2,Sapato Social,3,30.97,2021-07-28
3,Calça Jeans,17,58.32,2021-10-31
4,Camisa Manga Longa,7,73.94,2021-03-08
4,Calça Jeans,4,90.97,2021-05-30
10,Camisa Manga Longa,3,71.53,2021-05-07
4,Calça Jeans,13,84.04,2021-05-05
9,Camisa Manga Longa,9,80.85,2021-05-25
9,Camisa Gola Polo,16,96.82,2021-01-20
8,Sapato Social,19,92.58,2021-07-09
3,Camiseta Básica,10,75.89,2021-06-13
4,Sapato Social,18,10.23,2021-09-15
6,Camisa Gola Polo,9,46.63,2021-05-01
10,Camisa Manga Longa,10,50.13,2021-04-29
5,Camisa Manga Longa,7,78.67,2021-10-18
6,Sapato Social,1,18.62,2021-04-01
3,Sapato Social,20,94.5,2021-05-29
6,Camisa Manga Longa,14,81.13,2021-12-28
3,Camisa Gola Polo,1,56.88,2021-02-03
2,Sapato Social,9,75.56,2021-06-16
2,Camiseta Básica,5,90.96,2021-07-15
3,Camiseta Básica,2,87.56,2021-05-19
3,Sapato Social,3,89.33,2021-11-27
5,Camiseta Básica,6,97.2,2021-06-02
2,Sapato Social,15,33.92,2021-11-26
5,Camisa Gola Polo,6,90.26,2021-04-05
8,Calça Jeans,7,14.65,2021-11-07
4,Calça Jeans,20,93.12,2021-08-25
5,Camisa Gola Polo,5,25.44,2021-04-27
2,Calça Jeans,18,92.97,2021-05-17
6,Calça Jeans,9,88.15,2021-10-11
5,Calça Jeans,12,89.77,2021-10-17
3,Camiseta Básica,14,15.23,2021-06-23
3,Sapato Social,16,24.73,2021-01-28
7,Camisa Gola Polo,5,20.64,2021-03-18
2,Camisa Gola Polo,18,90.34,2021-04-17
2,Sapato Social,1,26.54,2021-12-13
3,Camisa Manga Longa,3,55.77,2021-10-18
8,Calça Jeans,1,44.64,2021-11-27
7,Calça Jeans,14,57.06,2021-05-13
3,Camiseta Básica,12,57.46,2021-06-10
1,Camisa Gola Polo,9,15.59,2021-03-13
5,Calça Jeans,13,13.83,2021-11-10
8,Camisa Gola Polo,6,32.4,2021-07-18
7,Calça Jeans,12,15.07,2021-01-16
2,Calça Jeans,7,65.48,2021-08-24
3,Sapato Social,20,23.09,2021-12-26
4,Camiseta Básica,2,56.9,2021-03-26
1,Camisa Gola Polo,13,40.15,2021-12-02
7,Camisa Manga Longa,1,88.51,2021-08-24
1,Camiseta Básica,19,33.2,2021-06-01
5,Sapato Social,18,36.55,2021-03-04
8,Camisa Gola Polo,17,82.15,2021-10-29
5,Camisa Manga Longa,2,86.8,2021-09-23
7,Camiseta Básica,2,59.21,2021-06-18
9,Camiseta Básica,8,33.04,2021-11-26
2,Sapato Social,17,67.29,2021-01-07
2,Camisa Gola Polo,20,42.86,2021-09-12
1,Camiseta Básica,10,30.42,2021-02-24
4,Camiseta Básica,1,10.95,2021-05-07
6,Camiseta Básica,18,83.33,2021-03-29
9,Calça Jeans,6,50.95,2021-12-10
3,Calça Jeans,10,98.27,2021-06-30
1,Calça Jeans,8,29.78,2021-12-06
6,Sapato Social,10,99.83,2021-08-09
3,Sapato Social,19,70.03,2021-09-15
1,Camisa Manga Longa,6,54.7,2021-05-12
4,Camiseta Básica,2,30.83,2021-03-11
6,Camisa Manga Longa,4,60.22,2021-05-16
4,Sapato Social,10,29.32,2021-09-25
10,Sapato Social,19,72.18,2021-09-08
2,Sapato Social,20,48.2,2021-09-03
6,Sapato Social,19,86.87,2021-03-16
6,Calça Jeans,19,22.1,2021-05-11
9,Camisa Manga Longa,17,21.64,2021-05-25
9,Camisa Manga Longa,18,68.43,2021-02-17
5,Calça Jeans,20,94.3,2021-06-01
1,Camiseta Básica,1,16.71,2021-01-19
5,Camisa Gola Polo,13,90.12,2021-06-06
1,Camisa Gola Polo,2,30.95,2021-05-29
7,Sapato Social,10,19.44,2021-09-27
1,Calça Jeans,2,37.07,2021-05-07
6,Calça Jeans,1,82.83,2021-03-15
4,Camisa Manga Longa,19,87.45,2021-11-26
3,Camisa Gola Polo,16,28.29,2021-01-03
2,Sapato Social,10,16.08,2021-09-22
4,Camisa Manga Longa,1,96.1,2021-09-05
7,Camisa Gola Polo,2,39.13,2021-09-08
5,Camisa Gola Polo,4,40.5,2021-02-05
1,Sapato Social,20,67.57,2021-10-24
6,Camiseta Básica,10,86.23,2021-02-12
4,Camiseta Básica,10,81.38,2021-09-26
6,Sapato Social,2,41.06,2021-06-21
2,Camiseta Básica,5,51.13,2021-04-29
4,Camisa Gola Polo,6,20.27,2021-11-03
3,Camiseta Básica,7,40.57,2021-09-26
9,Camisa Gola Polo,1,38.98,2021-06-08
2,Camiseta Básica,18,89.66,2021-01-25
2,Camisa Gola Polo,4,69.85,2021-12-07
5,Calça Jeans,17,59.94,2021-05-29
7,Sapato Social,9,78.32,2021-11-20
4,Camisa Gola Polo,13,69.28,2021-04-07
1,Camisa Gola Polo,18,73.25,2021-02-20
7,Sapato Social,17,13.65,2021-09-22
10,Sapato Social,3,75.28,2021-07-16
5,Camiseta Básica,6,83.62,2021-09-30
7,Camiseta Básica,14,79.76,2021-06-17
2,Camisa Manga Longa,17,95.96,2021-10-25
5,Camiseta Básica,19,12.58,2021-03-27
2,Sapato Social,5,24.35,2021-03-09
10,Camisa Manga Longa,10,66.48,2021-06-30
10,Camiseta Básica,16,51.0,2021-06-03
9,Camisa Gola Polo,8,31.21,2021-11-06
2,Camiseta Básica,9,91.36,2021-02-18
3,Camisa Manga Longa,16,64.84,2021-05-08
1,Camiseta Básica,8,49.81,2021-10-02
8,Camisa Manga Longa,15,48.71,2021-02-26
10,Camisa Gola Polo,16,46.91,2021-03-06
4,Camiseta Básica,8,88.0,2021-08-15
5,Camisa Manga Longa,1,48.77,2021-03-05
6,Camisa Gola Polo,16,12.39,2021-08-27
8,Camisa Gola Polo,5,46.09,2021-11-05
7,Sapato Social,17,46.77,2021-07-20
5,Sapato Social,4,52.13,2021-01-20
6,Camisa Gola Polo,17,41.89,2021-07-12
10,Camiseta Básica,1,47.51,2021-12-30
7,Camisa Gola Polo,20,17.03,2021-01-13
6,Camiseta Básica,13,55.5,2021-04-30
4,Sapato Social,10,43.18,2021-07-31
6,Calça Jeans,1,79.89,2021-12-31
8,Camisa Manga Longa,8,26.55,2021-05-22
2,Calça Jeans,6,79.83,2021-06-19
8,Calça Jeans,16,98.05,2021-04-11
8,Sapato Social,9,33.57,2021-12-09
8,Camisa Gola Polo,14,43.91,2021-12-10
5,Camisa Gola Polo,6,33.89,2021-06-12
10,Camisa Manga Longa,20,39.53,2021-01-21
6,Sapato Social,7,62.94,2021-03-06
6,Calça Jeans,20,40.45,2021-03-29
6,Calça Jeans,11,88.65,2021-06-06
5,Calça Jeans,17,77.3,2021-11-13
7,Calça Jeans,5,70.41,2021-05-25
6,Camiseta Básica,7,29.17,2021-02-06
5,Sapato Social,17,58.2,2021-05-24
9,Calça Jeans,8,97.73,2021-05-16
3,Sapato Social,10,38.37,2021-04-21
6,Camisa Gola Polo,7,46.42,2021-04-28
6,Camisa Manga Longa,17,70.39,2021-10-04
5,Camisa Gola Polo,1,75.42,2021-08-28
2,Sapato Social,19,77.69,2021-07-22
4,Camiseta Básica,6,12.62,2021-05-30
2,Camisa Manga Longa,8,50.2,2021-05-28
5,Camisa Manga Longa,1,84.95,2021-01-06
1,Camiseta Básica,6,47.08,2021-12-25
6,Camisa Manga Longa,18,17.35,2021-05-07
1,Camiseta Básica,18,31.62,2021-09-30
1,Camiseta Básica,15,24.19,2021-05-07
4,Sapato Social,4,38.4,2021-10-07
2,Calça Jeans,20,88.67,2021-06-29
4,Camiseta Básica,10,55.84,2021-02-08
10,Camiseta Básica,15,75.86,2021-02-01
10,Calça Jeans,19,18.41,2021-12-08
5,Sapato Social,5,71.4,2021-05-20
5,Camisa Manga Longa,1,50.66,2021-05-06
3,Camisa Manga Longa,14,51.0,2021-12-08
6,Camiseta Básica,3,14.26,2021-10-28
6,Calça Jeans,4,20.94,2021-07-10
4,Camisa Gola Polo,2,24.16,2021-04-25
8,Camisa Manga Longa,3,86.17,2021-11-08
10,Camisa Manga Longa,14,87.4,2021-12-15
3,Camisa Gola Polo,15,66.99,2021-04-22
7,Camisa Manga Longa,4,89.51,2021-12-16
9,Camisa Gola Polo,13,31.55,2021-02-14
10,Camisa Gola Polo,1,50.28,2021-04-17
10,Camiseta Básica,17,15.74,2021-07-24
10,Camisa Manga Longa,8,68.1,2021-09-13
3,Camisa Gola Polo,11,38.0,2021-10-13
4,Camisa Gola Polo,13,66.52,2021-08-14
3,Calça Jeans,6,29.17,2021-12-12
1,Camisa Gola Polo,13,73.75,2021-11-04
8,Sapato Social,12,61.81,2021-09-27
1,Calça Jeans,5,54.67,2021-10-15
6,Sapato Social,12,72.61,2021-09-10
2,Calça Jeans,14,86.62,2021-02-04
5,Calça Jeans,18,31.57,2021-11-01
7,Camisa Manga Longa,7,23.3,2021-09-08
6,Calça Jeans,17,42.39,2021-04-13
6,Calça Jeans,3,71.7,2021-06-04
2,Camisa Manga Longa,2,97.77,2021-09-30
6,Camisa Manga Longa,2,55.77,2021-06-07
2,Calça Jeans,7,76.67,2021-04-25
2,Sapato Social,11,20.01,2021-12-27
6,Sapato Social,7,10.65,2021-06-06
10,Camisa Manga Longa,17,30.17,2021-12-29
3,Calça Jeans,8,54.78,2021-02-10
6,Calça Jeans,19,69.33,2021-11-23
8,Camiseta Básica,8,96.64,2021-09-20
1,Camisa Manga Longa,4,28.94,2021-04-13
5,Camisa Gola Polo,18,13.11,2021-04-03
5,Camiseta Básica,4,83.34,2021-07-26
2,Sapato Social,5,64.88,2021-06-10
6,Camiseta Básica,2,92.28,2021-05-08
1,Camiseta Básica,4,12.33,2021-01-23
3,Camisa Manga Longa,20,17.79,2021-05-22
6,Camiseta Básica,20,83.27,2021-01-12
7,Camisa Manga Longa,16,72.9,2021-05-18
10,Camiseta Básica,6,69.86,2021-02-23
9,Sapato Social,1,59.19,2021-12-13
4,Sapato Social,1,44.13,2021-03-06
7,Calça Jeans,19,63.57,2021-03-06
10,Calça Jeans,7,22.26,2021-03-05
6,Camisa Manga Longa,13,26.01,2021-02-16
8,Camisa Manga Longa,5,77.28,2021-05-02
8,Camisa Gola Polo,8,16.56,2021-06-19
4,Camiseta Básica,2,86.2,2021-10-08
3,Camisa Gola Polo,10,97.06,2021-10-04
7,Camisa Manga Longa,8,17.95,2021-12-02
9,Calça Jeans,16,46.91,2021-05-17
9,Sapato Social,13,12.27,2021-11-09
8,Calça Jeans,1,43.8,2021-08-22
4,Camisa Gola Polo,10,98.99,2021-04-20
3,Camiseta Básica,7,28.7,2021-09-14
7,Calça Jeans,18,61.64,2021-04-12
8,Camiseta Básica,2,84.37,2021-03-26
7,Calça Jeans,11,81.78,2021-09-19
6,Camisa Manga Longa,8,32.08,2021-04-06
8,Calça Jeans,2,63.26,2021-01-08
1,Camisa Manga Longa,6,74.02,2021-06-19
10,Camisa Manga Longa,12,15.33,2021-12-30
10,Camisa Manga Longa,6,96.89,2021-02-17
2,Camiseta Básica,5,51.16,2021-10-09
8,Calça Jeans,20,10.07,2021-07-31
10,Camisa Gola Polo,11,48.13,2021-06-21
6,Camisa Manga Longa,6,13.84,2021-09-13
9,Camisa Manga Longa,14,14.46,2021-04-09
5,Camisa Gola Polo,16,69.37,2021-01-30
8,Camisa Gola Polo,13,23.52,2021-02-27
8,Camisa Manga Longa,17,31.74,2021-04-02
1,Sapato Social,14,13.51,2021-05-27
4,Camiseta Básica,7,63.99,2021-03-17
3,Camisa Gola Polo,6,16.91,2021-04-07
4,Camisa Gola Polo,11,20.53,2021-02-02
10,Camisa Manga Longa,6,35.29,2021-08-27
1,Calça Jeans,14,35.83,2021-07-05
1,Camisa Manga Longa,13,36.76,2021-11-23
4,Camisa Gola Polo,5,99.33,2021-03-01
1,Camisa Gola Polo,16,42.53,2021-06-10
9,Sapato Social,5,61.33,2021-08-24
10,Calça Jeans,15,13.0,2021-01-20
9,Sapato Social,6,17.49,2021-07-20
10,Sapato Social,18,89.76,2021-03-11
3,Camiseta Básica,1,49.87,2021-03-05
2,Sapato Social,13,85.84,2021-11-13
10,Sapato Social,4,81.08,2021-12-29
3,Camisa Manga Longa,15,41.67,2021-09-17
2,Sapato Social,3,32.78,2021-09-09
7,Sapato Social,20,54.81,2021-05-11
2,Camiseta Básica,18,62.52,2021-08-18
4,Sapato Social,11,30.06,2021-10-21
4,Sapato Social,8,86.21,2021-05-09
7,Camisa Manga Longa,15,97.71,2021-01-23
3,Sapato Social,18,27.06,2021-04-27
2,Camisa Gola Polo,13,12.08,2021-12-17
5,Calça Jeans,20,87.27,2021-11-30
3,Camisa Manga Longa,8,99.36,2021-12-22
2,Calça Jeans,11,97.9,2021-10-22
7,Calça Jeans,5,32.22,2021-01-23
10,Camisa Gola Polo,9,46.3,2021-09-26
7,Sapato Social,18,67.33,2021-10-09
4,Sapato Social,11,41.91,2021-09-07
4,Camiseta Básica,14,80.36,2021-06-15
5,Camisa Gola Polo,1,30.71,2021-06-17
4,Sapato Social,18,34.51,2021-07-25
6,Sapato Social,5,77.2,2021-07-15
7,Camiseta Básica,7,71.29,2021-03-12
2,Camisa Manga Longa,5,67.57,2021-03-05
1,Camisa Gola Polo,4,83.96,2021-03-06
3,Camisa Manga Longa,5,17.83,2021-10-01
4,Camiseta Básica,4,17.67,2021-05-15
1,Calça Jeans,3,49.07,2021-07-20
2,Sapato Social,11,43.54,2021-08-07
5,Calça Jeans,8,57.71,2021-04-10
6,Camiseta Básica,10,48.75,2021-06-13
3,Calça Jeans,18,52.97,2021-10-07
1,Camisa Manga Longa,17,60.37,2021-12-02
3,Calça Jeans,13,21.53,2021-02-03
9,Calça Jeans,18,72.47,2021-06-03
9,Sapato Social,12,54.82,2021-01-29
1,Sapato Social,14,19.18,2021-02-07
6,Camisa Manga Longa,12,72.12,2021-03-26
3,Camisa Manga Longa,11,47.05,2021-07-13
2,Camiseta Básica,7,81.61,2021-06-12
1,Camiseta Básica,20,19.98,2021-06-03
8,Camisa Manga Longa,12,26.13,2021-06-05
4,Calça Jeans,16,21.48,2021-10-09
1,Camisa Gola Polo,15,22.53,2021-11-13
9,Camisa Manga Longa,19,51.64,2021-05-07
9,Camisa Gola Polo,17,32.28,2021-10-15
3,Sapato Social,6,26.66,2021-03-13
6,Camiseta Básica,7,32.43,2021-10-20
3,Calça Jeans,11,77.39,2021-11-26
10,Camiseta Básica,17,51.67,2021-12-01
10,Calça Jeans,15,90.77,2021-04-27
2,Sapato Social,13,27.52,2021-12-15
10,Sapato Social,14,37.25,2021-05-22
5,Calça Jeans,3,78.01,2021-08-14
8,Camiseta Básica,2,57.96,2021-06-24
5,Camisa Gola Polo,15,49.39,2021-03-13
8,Sapato Social,20,40.19,2021-03-25
8,Calça Jeans,12,68.37,2021-02-23
5,Camisa Gola Polo,20,65.12,2021-11-24
1,Sapato Social,3,88.24,2021-02-25
8,Camisa Gola Polo,4,12.17,2021-07-08
4,Sapato Social,13,23.77,2021-11-01
4,Sapato Social,10,10.09,2021-04-10
2,Camiseta Básica,16,21.78,2021-08-28
5,Sapato Social,16,90.06,2021-08-20
5,Camisa Gola Polo,17,65.74,2021-03-24
2,Calça Jeans,8,55.32,2021-07-27
3,Calça Jeans,20,27.55,2021-06-22
8,Sapato Social,3,94.8,2021-02-23
5,Sapato Social,9,27.1,2021-09-17
7,Calça Jeans,19,11.11,2021-11-19
8,Camisa Gola Polo,8,60.29,2021-12-19
8,Camisa Manga Longa,19,41.87,2021-06-17
1,Sapato Social,7,82.04,2021-01-13
3,Sapato Social,6,54.94,2021-03-23
7,Calça Jeans,9,45.88,2021-12-30
9,Sapato Social,11,99.77,2021-05-20
5,Camisa Manga Longa,20,77.14,2021-09-13
3,Calça Jeans,13,33.6,2021-08-02
2,Camisa Manga Longa,5,18.15,2021-12-02
10,Calça Jeans,13,94.73,2021-05-12
5,Sapato Social,4,96.39,2021-06-18
3,Sapato Social,11,14.15,2021-07-16
10,Camisa Gola Polo,17,16.86,2021-05-20
3,Calça Jeans,15,19.24,2021-05-26
10,Camiseta Básica,16,39.65,2021-02-01
2,Sapato Social,2,35.67,2021-04-18
3,Sapato Social,17,58.07,2021-12-11
5,Camiseta Básica,2,69.29,2021-11-20
5,Camisa Manga Longa,1,86.55,2021-12-06
7,Camiseta Básica,10,26.0,2021-06-22
8,Calça Jeans,16,46.5,2021-02-25
2,Camisa Gola Polo,19,95.47,2021-01-07
8,Calça Jeans,12,13.05,2021-08-10
4,Camiseta Básica,9,84.91,2021-12-06
7,Sapato Social,4,43.69,2021-10-15
4,Camisa Manga Longa,2,10.78,2021-08-17
1,Camisa Manga Longa,18,80.86,2021-05-24
4,Camisa Manga Longa,14,61.97,2021-10-22
9,Camiseta Básica,12,12.82,2021-09-23
2,Camisa Gola Polo,5,38.64,2021-01-30
1,Camisa Manga Longa,11,53.83,2021-09-01
6,Camiseta Básica,13,84.96,2021-08-08
8,Camisa Gola Polo,13,68.93,2021-12-31
4,Calça Jeans,1,63.23,2021-04-15
4,Calça Jeans,6,32.15,2021-08-31
9,Camisa Manga Longa,6,55.41,2021-04-30
8,Camisa Manga Longa,14,83.21,2021-05-05
7,Sapato Social,11,91.52,2021-05-30
7,Sapato Social,11,18.49,2021-02-20
6,Camisa Gola Polo,6,65.56,2021-02-01
5,Camisa Manga Longa,8,14.23,2021-09-09
4,Camisa Manga Longa,11,20.36,2021-08-27
2,Camisa Manga Longa,15,90.47,2021-01-11
7,Sapato Social,6,36.51,2021-06-13
3,Camisa Manga Longa,13,84.46,2021-04-27
3,Sapato Social,1,56.68,2021-04-01
1,Camisa Gola Polo,6,97.74,2021-04-06
3,Camiseta Básica,20,93.31,2021-06-05
5,Camiseta Básica,13,77.73,2021-11-16
9,Camisa Manga Longa,12,45.12,2021-09-10
5,Camisa Gola Polo,9,72.81,2021-11-18
3,Camiseta Básica,7,36.18,2021-07-28
7,Calça Jeans,19,47.55,2021-10-28
6,Calça Jeans,1,46.53,2021-02-12
1,Calça Jeans,9,86.48,2021-05-26
10,Calça Jeans,5,21.06,2021-01-31
10,Sapato Social,9,44.49,2021-06-01
1,Camisa Manga Longa,13,14.48,2021-03-06
4,Camisa Manga Longa,15,48.52,2021-09-02
2,Sapato Social,7,97.43,2021-12-08
7,Sapato Social,6,82.38,2021-08-12
9,Sapato Social,14,39.75,2021-01-21
10,Camisa Gola Polo,2,91.4,2021-03-19
1,Camisa Manga Longa,4,79.07,2021-06-20
4,Camisa Manga Longa,15,89.44,2021-05-04
3,Camisa Manga Longa,18,43.0,2021-06-24
4,Camisa Gola Polo,10,63.37,2021-03-15
10,Calça Jeans,5,15.14,2021-03-18
7,Sapato Social,11,69.21,2021-03-27
10,Camiseta Básica,9,68.29,2021-11-11
8,Calça Jeans,17,50.85,2021-10-18
10,Camisa Manga Longa,1,23.92,2021-12-15
9,Calça Jeans,16,56.89,2021-07-26
10,Camisa Gola Polo,9,87.18,2021-11-15
2,Camiseta Básica,5,29.86,2021-08-18
5,Sapato Social,12,29.87,2021-09-24
3,Calça Jeans,18,27.81,2021-10-03
7,Sapato Social,1,60.57,2021-08-11
9,Calça Jeans,14,68.38,2021-07-30
3,Camiseta Básica,20,82.22,2021-09-15
5,Camiseta Básica,13,95.16,2021-04-26
5,Camisa Manga Longa,4,94.5,2021-12-06
8,Calça Jeans,20,55.72,2021-01-01
4,Camiseta Básica,4,19.21,2021-09-08
8,Calça Jeans,8,35.82,2021-12-21
10,Sapato Social,8,90.46,2021-07-16
6,Calça Jeans,10,39.76,2021-02-18
2,Camisa Manga Longa,16,69.98,2021-03-24
9,Camisa Gola Polo,10,73.8,2021-03-10
2,Camiseta Básica,17,51.4,2021-12-07
3,Camisa Gola Polo,5,87.55,2021-12-10
6,Calça Jeans,16,66.68,2021-10-04
4,Camiseta Básica,5,65.42,2021-11-21
6,Calça Jeans,20,57.86,2021-06-12
2,Camisa Manga Longa,12,29.79,2021-03-14
3,Camiseta Básica,2,39.08,2021-08-30
6,Sapato Social,10,36.25,2021-09-20
4,Camisa Manga Longa,2,71.41,2021-06-15
10,Camisa Gola Polo,11,37.5,2021-06-29
4,Camiseta Básica,7,79.43,2021-05-01
2,Camisa Gola Polo,19,19.76,2021-10-26
7,Camisa Manga Longa,5,66.93,2021-07-26
5,Calça Jeans,6,84.89,2021-05-10
7,Camisa Gola Polo,7,19.04,2021-07-11
7,Camisa Manga Longa,15,56.88,2021-07-13
8,Camisa Gola Polo,9,77.93,2021-10-20
3,Sapato Social,4,22.99,2021-11-14
4,Camisa Manga Longa,11,70.02,2021-11-18
7,Calça Jeans,9,67.44,2021-11-07
